id,question
1,كم عدد أولي العزم من الرسل؟
2,من هو النبي الذي آمن به كل قومه؟
3,ما اسم السجدة التي يلجأ إليها المصلي عند نسيان شيء في الصلاة؟
4,من هو حبيب الله؟
5,ما هي الصورة التي تسمى قلب القرآن
6,من هو النبي الذي سمي: ” نبي الله”؟
7,من هو النبي الذي دعا ربه: ” أني مسني الضر وأنت أرحم الراحمين”؟
8,الغزوة التي قادها المسلمون في رمضان؟
9,من هو النبي الذي كاد به إخوته ورموه في البئر وهو صغيرًا؟
10,من هم الأسباط؟
11,من هو صفي الله؟
12,"من هو النبي الذي قال لابنه: “” يَا بُنَيَّ ارْكَب مَّعَنَا وَلَا تَكُن مَّعَ الْكَافِرِينَ”، كما ورد في القرآن الكريم؟"
13,"من هو النبي الذي قال لابنه: ” يا بني لا تقصص رؤياك على إخوتك فيكيدوا لك كيدًا “، ومن كان ابنه؟"
14,كم سورة في القرآن الكريم سميت باسم نبي وما هي؟
15,من هو أول البشر؟
16,من هو خاتم الأنبياء والمرسلين؟
17,من هو النبي الذي أيده الله تعالى بمعجزة إحياء الموتى؟
18,من هو النبي الذي الذي انشق له البحر؟
19,ما هي النبتة التي وضع سيدنا يونس أوراقها على جسده بعد أن خرج من فم الحوت؟
20,ما هي مهنة نبي الله موسى عليه السلام؟
21,من هو النبي الكريم الذي أُرسل إلى قوم عاد؟
22,ما هي قصة قوم عاد؟
